ID_1,attn_dict_common
100,"{'yogi': [0.307889879, 0.0, 0.422777534]}"
102,"{'commissioner': [0.291664749, 0.22171907100000002, 0.25653871899999997], 'poll': [0.508849442, 0.339366734, 0.143012643]}"
106,"{'encounter': [0.160272896, 0.148204207, 0.08330641700000001], 'terrorist': [0.620625794, 0.158975184, 0.305662721], 'personnel': [0.0, 0.12447177599999999, 0.743613303], 'force': [0.052322377, 0.08260987, 0.23694229100000003]}"
107,"{'highway': [0.497050971, 0.26087477800000003, 0.617263675], 'snowfall': [0.395254135, 0.105153963, 0.59415096], 'fresh': [0.276787847, 0.14597103, 0.569124341], 'jammusrinagar': [0.198972493, 0.11149621800000001, 0.22801564600000002]}"
109,"{'abhinandan': [0.144200802, 0.120084889, 0.166509703], 'wing': [0.119785525, 0.18255879, 0.383940071], 'commander': [0.215784267, 0.24043931100000002, 0.43039184799999997], 'pilot': [0.271947145, 0.387897283, 0.24491579800000002], 'defence': [0.717105925, 0.442650974, 0.18249680100000001]}"
110,"{'amethi': [0.142754823, 0.165585756, 0.349862635]}"
111,"{'abhinandan': [0.36100924, 0.308629423, 0.021369152000000002], 'meaning': [0.0, 0.10804182300000001, 0.009701955]}"
112,"{'abhinandan': [0.280134112, 0.120084889, 0.157120034], 'air': [0.020705653, 0.021919413, 0.166137084], 'wing': [0.17082850600000002, 0.18255879, 0.09879872199999999], 'commander': [0.653975606, 0.24043931100000002, 0.20907549600000003], 'pakistan': [0.36926552700000004, 0.073158272, 0.028703829], 'force': [0.0, 0.008927321, 0.222346768], 'iaf': [0.154672265, 0.322678924, 0.11729791]}"
113,"{'nadu': [0.147080049, 0.0, 0.133201674], 'tamil': [0.24510411899999998, 0.0, 0.367565989]}"
114,"{'swaraj': [0.452010125, 0.624465466, 0.256391734]}"
115,"{'nadu': [0.0, 0.0, 0.133201674], 'tamil': [0.0, 0.0, 0.367565989]}"
116,"{'meeting': [0.483162582, 0.192713857, 0.310528696]}"
119,"{'pakistani': [0.17009992899999998, 0.797240078, 0.254577607], 'opposition': [0.23499663199999998, 0.091993764, 0.730744958], 'statement': [0.5106409789999999, 0.183387592, 0.971680164], 'force': [0.735791028, 0.474119365, 0.303259432]}"
121,"{'pakistan': [0.711785436, 0.074478053, 0.224231601], 'pilot': [0.247532845, 0.049489282, 0.0], 'air': [0.155192763, 0.06280227, 0.084104612], 'action': [0.335620105, 0.20532389, 0.082985744], 'force': [0.198933885, 0.15330381699999998, 0.069977291], 'military': [0.36773487899999996, 0.274414331, 0.17417050899999997]}"
123,"{'force': [0.076732464, 0.057432018, 0.130705059], 'terrorist': [0.150278628, 0.167462811, 0.0], 'kashmir': [0.274283111, 0.688265026, 0.022229832], 'shopian': [0.139181316, 0.300167829, 0.0]}"
124,"{'strike': [0.5863924620000001, 0.147695139, 0.176392257], 'safe': [0.0, 0.0, 0.0]}"
126,"{'camp': [0.26018890699999997, 0.10027544199999999, 0.362412214], 'pakistan': [0.32576102, 0.314630836, 0.17826019199999998], 'balakot': [0.16873438699999999, 0.20821546, 0.064599916]}"
127,"{'vehicle': [0.087273665, 0.27065205600000003, 0.041510407], 'sajjad': [0.261113971, 0.268905878, 0.049618572], 'bhat': [0.077105448, 0.062293869, 0.022241412000000002], 'pulwama': [0.038894307, 0.051607985, 0.0]}"
128,"{'chakra': [0.1720846, 0.0, 0.0], 'memorial': [0.630413711, 0.513344765, 0.36111825700000005], 'war': [0.421660274, 0.024312386000000002, 0.151385874], 'national': [0.23996225, 0.163704336, 0.122870862], 'soldier': [0.409098864, 0.0, 0.36166366899999997]}"
131,"{'goyal': [0.228850335, 0.494457453, 0.394457459]}"
132,"{'memorial': [0.548271775, 0.933351934, 0.36111825700000005], 'chakra': [0.69253248, 0.997151077, 0.0], 'war': [0.271875054, 0.541998208, 0.151385874], 'circle': [0.34937590399999996, 0.0, 0.0], 'soldier': [0.38582110399999997, 0.813898861, 0.36166366899999997], 'national': [0.244283602, 0.691582143, 0.122870862], 'amar': [0.22314994, 0.0, 0.0], 'gate': [0.45520961299999996, 0.598300517, 0.32549661399999996]}"
133,"{'air': [0.113688909, 0.468056679, 0.07921800799999999], 'parking': [0.158923864, 0.167460218, 0.0], 'fire': [0.518079996, 0.24013403100000003, 0.0], 'aero': [0.0, 0.999999523, 0.999976635], 'show': [0.130566716, 0.35514271299999994, 0.156127825], 'bengaluru': [0.134324849, 0.610777915, 0.210740194], 'car': [0.042545848, 0.165206403, 0.055231839000000005], 'yelahanka': [0.684779108, 0.454422385, 0.47491571299999996]}"
134,"{'pakistan': [0.139543831, 0.495673805, 0.247972175], 'pulwama': [0.12027619, 0.08655160699999999, 0.398281276], 'attack': [0.061331502999999996, 0.197406635, 0.13804888699999998]}"
135,"{'pakistan': [0.202600896, 0.22371669100000002, 1.0], 'pulwama': [0.03717288, 0.213947773, 0.122982226], 'attack': [0.100905463, 0.037498712999999996, 0.274989575]}"
136,"{'attack': [0.12469139, 0.197406635, 0.282508463], 'terror': [0.183149576, 0.160831451, 0.418323189], 'pulwama': [0.13350150000000002, 0.08655160699999999, 0.387495369]}"
137,"{'kumbh': [0.07021421900000001, 0.0, 0.336881429], 'mela': [0.178586125, 0.0, 0.181654945], 'modi': [0.020958932, 0.086820021, 0.052657895]}"
138,"{'seoul': [0.28677204300000003, 0.281659544, 0.23423270899999998], 'award': [0.175769135, 0.114546917, 0.34347501399999997], 'peace': [0.347731978, 0.292625576, 0.22511611899999998], 'prize': [0.22988267199999998, 0.22345984, 0.143176526], 'korean': [0.11433879999999999, 0.56886971, 0.259735912], 'global': [0.12750768699999998, 0.08591159400000001, 0.025941622999999997]}"
140,"{'water': [0.307531059, 0.172840849, 0.265069216], 'gadkari': [0.587825894, 0.072158627, 0.23447653699999998], 'river': [0.11036168800000001, 0.08445548300000001, 0.193299592], 'share': [0.10337164300000001, 0.083690166, 0.150165901], 'stop': [0.323454261, 0.23677882600000003, 0.0]}"
141,"{'korea': [0.5306353570000001, 0.393892914, 0.371668071], 'seoul': [0.094228849, 0.599182069, 0.460339785], 'korean': [0.0, 0.544463038, 0.351827502]}"
142,"{'seoul': [0.181069642, 0.240817919, 0.23423270899999998], 'korea': [0.132868811, 0.0, 1.0], 'modi': [0.041590657, 0.034608822000000004, 0.09767799099999999]}"
144,"{'falaheinsaniat': [0.6194003220000001, 0.12635110300000002, 0.286638737], 'hafiz': [0.100498386, 0.529399574, 0.46176919299999997], 'ban': [0.09135975699999999, 0.166631535, 0.260195345], 'nsc': [0.06973537099999999, 0.02302256, 0.0], 'attack': [0.40276977399999997, 0.18813180899999998, 0.046849012], 'pakistan': [0.09492384599999999, 0.274559557, 0.145295888], 'group': [0.250422537, 0.536740541, 0.18807973], 'terror': [0.244815245, 0.398707807, 0.220450968]}"
146,"{'mahatma': [0.290178031, 0.231554344, 0.555867374], 'gandhi': [0.376264185, 0.35654562700000003, 0.359318197], 'yonsei': [0.0, 0.0, 0.0], 'bust': [0.0, 0.05487334, 0.08665263699999999], 'seoul': [0.126807585, 0.240817919, 0.544434667], 'modi': [0.034871649, 0.034608822000000004, 0.066608563]}"
